# packages in environment at C:\Users\mat\anaconda3\envs\riken_py310_2:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                       2_gnu    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.11.18         py310h38315fa_0    conda-forge
aiosignal                 1.3.2              pyhd8ed1ab_0    conda-forge
anyio                     4.14.2                   pypi_0    pypi
aom                       3.9.1                he0c23c2_0    conda-forge
argon2-cffi               25.1.0                   pypi_0    pypi
argon2-cffi-bindings      25.1.0                   pypi_0    pypi
arrow                     1.4.0                    pypi_0    pypi
asttokens                 3.0.2              pyhd8ed1ab_0    conda-forge
async-timeout             5.0.1              pyhd8ed1ab_1    conda-forge
attrs                     25.3.0             pyh71513ae_0    conda-forge
beautifulsoup4            4.15.0                   pypi_0    pypi
bleach                    6.4.0                    pypi_0    pypi
blosc                     1.21.6               h85f69ea_0    conda-forge
brotli                    1.1.0                h2466b09_2    conda-forge
brotli-bin                1.1.0                h2466b09_2    conda-forge
brotli-python             1.1.0           py310h9e98ed7_2    conda-forge
bzip2                     1.0.8                h2466b09_7    conda-forge
ca-certificates           2026.6.17            h4c7d964_0    conda-forge
cached-property           1.5.2                hd8ed1ab_2    conda-forge
cached_property           1.5.2              pyha770c72_2    conda-forge
cairo                     1.18.0               h32b962e_3    conda-forge
certifi                   2026.6.17          pyhd8ed1ab_0    conda-forge
cffi                      2.1.0           py310h29418f3_0    conda-forge
cftime                    1.6.5           py310h8f3aa81_1    conda-forge
charset-normalizer        3.4.9              pyhd8ed1ab_0    conda-forge
cloudpickle               3.1.2              pyhcf101f3_1    conda-forge
colorama                  0.4.6              pyhd8ed1ab_1    conda-forge
comm                      0.2.3              pyhe01879c_0    conda-forge
contourpy                 1.3.2           py310hc19bc0b_0    conda-forge
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
cyclopts                  4.22.0             pyhcf101f3_0    conda-forge
dav1d                     1.2.1                hcfcfb64_0    conda-forge
debugpy                   1.8.21          py310h699e580_0    conda-forge
decorator                 5.3.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1                    pypi_0    pypi
docstring_parser          0.18.0             pyhd8ed1ab_0    conda-forge
double-conversion         3.3.1                he0c23c2_0    conda-forge
eigen                     5.0.1                h5112557_0    conda-forge
et_xmlfile                2.0.0              pyhd8ed1ab_1    conda-forge
exceptiongroup            1.3.1              pyhd8ed1ab_0    conda-forge
executing                 2.2.1              pyhd8ed1ab_0    conda-forge
expat                     2.5.0                h63175ca_1    conda-forge
fastjsonschema            2.21.2                   pypi_0    pypi
ffmpeg                    6.1.2           gpl_h0820249_105    conda-forge
fftw                      3.3.11          nompi_h6877c38_100    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.14.2               hbde0cde_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.57.0          py310h38315fa_0    conda-forge
fqdn                      1.5.1                    pypi_0    pypi
freetype                  2.14.3               h57928b3_1    conda-forge
fribidi                   1.0.10               h8d14728_0    conda-forge
frozenlist                1.5.0           py310h38315fa_1    conda-forge
future                    1.0.0              pyhd8ed1ab_2    conda-forge
gdk-pixbuf                2.42.12              hed59a49_0    conda-forge
gl2ps                     1.4.2                had7236b_1    conda-forge
glew                      2.1.0                h39d44d4_2    conda-forge
glib                      2.84.1               h3d4babf_0    conda-forge
glib-tools                2.84.1               h4394cf3_0    conda-forge
graphite2                 1.3.13            h63175ca_1003    conda-forge
gst-plugins-base          1.24.11              h3fe0a9e_0    conda-forge
gstreamer                 1.24.11              h233a61a_0    conda-forge
gudhi                     3.11.0                   pypi_0    pypi
h2                        4.3.0              pyhcf101f3_0    conda-forge
h5py                      3.13.0          nompi_py310h2b0be38_100    conda-forge
harfbuzz                  9.0.0                h2bedf89_1    conda-forge
hdf4                      4.2.15               h5557f11_7    conda-forge
hdf5                      1.14.3          nompi_hb2c4d47_109    conda-forge
hpack                     4.2.0              pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       75.1                 he0c23c2_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
igl                       2.6.1           py310hd9ea8c1_3    conda-forge
importlib-metadata        9.0.0              pyhcf101f3_0    conda-forge
importlib_metadata        9.0.0                h71f4f89_0    conda-forge
intel-openmp              2024.2.1          h57928b3_1083    conda-forge
ipykernel                 6.31.0             pyh6dadd2b_0    conda-forge
ipython                   8.37.0             pyha7b4d00_0    conda-forge
ipywidgets                8.1.8              pyhd8ed1ab_0    conda-forge
isoduration               20.11.0                  pypi_0    pypi
jedi                      0.20.0             pyhcf101f3_0    conda-forge
jinja2                    3.1.6                    pypi_0    pypi
joblib                    1.5.3              pyhd8ed1ab_0    conda-forge
jsoncpp                   1.9.5                h2d74725_1    conda-forge
jsonpointer               3.1.1                    pypi_0    pypi
jsonschema                4.26.0                   pypi_0    pypi
jsonschema-specifications 2025.9.1                 pypi_0    pypi
jupyter-events            0.12.1                   pypi_0    pypi
jupyter-server            2.20.0                   pypi_0    pypi
jupyter-server-proxy      4.5.0                    pypi_0    pypi
jupyter-server-terminals  0.5.4                    pypi_0    pypi
jupyter_client            8.9.1              pyhcf101f3_0    conda-forge
jupyter_core              5.9.1              pyh6dadd2b_0    conda-forge
jupyterlab-pygments       0.3.0                    pypi_0    pypi
jupyterlab_widgets        3.0.16             pyhcf101f3_1    conda-forge
kiwisolver                1.4.7           py310hc19bc0b_0    conda-forge
